,city,Cloundiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
305,mount isa,12,AU,1665350302,34,-20.7333,139.5,65.97,8.05
306,airai,100,TL,1665350302,79,-8.9266,125.4092,60.3,2.75
307,harnosand,100,SE,1665350303,73,62.6323,17.9379,50.0,10.04
308,samarai,59,PG,1665350303,79,-10.6167,150.6667,81.55,9.19
309,moerai,60,PF,1665350303,77,-22.4333,-151.3333,72.46,23.94
310,juba,35,SS,1665350303,84,4.8517,31.5825,70.83,3.04
311,saint-augustin,100,CA,1665350303,67,51.226,-58.6502,44.55,15.99
312,nuuk,100,GL,1665350273,86,64.1835,-51.7216,30.81,20.71
313,gweru,0,ZW,1665350304,27,-19.45,29.8167,69.67,9.64
314,la ronge,40,CA,1665350304,32,55.1001,-105.2842,68.25,10.36
315,ponta pora,100,BR,1665350304,88,-22.5361,-55.7256,64.31,8.05
316,maldonado,22,UY,1665350304,62,-34.6667,-54.9167,56.23,6.67
317,oranjemund,98,NA,1665350305,85,-28.55,16.4333,59.99,7.36
318,ahuimanu,75,US,1665350305,65,21.4447,-157.8378,84.78,9.22
319,new glasgow,73,CA,1665350305,54,45.5834,-62.6486,54.79,9.35
320,bagotville,88,AU,1665350305,99,-28.9833,153.4167,59.63,10.33
321,kruisfontein,88,ZA,1665350305,91,-34.0033,24.7314,60.89,4.12
322,acapulco,75,MX,1665350305,70,16.8634,-99.8901,87.62,10.36
323,poum,48,NC,1665350305,75,-20.2333,164.0167,76.78,16.96
324,sao sebastiao,100,BR,1665350305,97,-23.76,-45.4097,70.39,1.43
325,wanning,57,CN,1665350305,87,18.8003,110.3967,75.18,16.17
326,gat,0,IL,1665350062,62,31.61,34.7642,70.48,3.42
327,atherton,91,GB,1665350306,87,53.5237,-2.4935,55.74,4.0
328,harper,1,LR,1665350306,87,4.375,-7.7169,77.31,5.17
329,mountrath,36,IE,1665350306,91,52.9989,-7.4728,45.88,6.85
330,gorin,14,RU,1665350306,94,51.1983,136.6669,31.84,2.46
331,port augusta,100,AU,1665350306,45,-32.5,137.7667,55.36,5.21
332,chauk,25,MM,1665350306,81,20.8833,94.8167,79.36,3.83
333,acarau,55,BR,1665350306,81,-2.8856,-40.12,79.66,21.14
334,christchurch,3,NZ,1665350307,58,-43.5333,172.6333,59.95,3.44
335,aklavik,100,CA,1665350307,87,68.2191,-135.0107,36.54,13.4
336,vrchlabi,6,CZ,1665350307,92,50.627,15.6094,44.69,2.66
337,hede,33,CN,1665350307,50,33.7681,120.2517,46.13,10.71
338,biasong,95,PH,1665350307,87,10.5229,123.736,80.53,4.41
339,maroantsetra,4,MG,1665350307,86,-15.4333,49.7333,65.46,3.31
340,saldanha,100,ZA,1665350307,87,-33.0117,17.9442,61.48,12.35
341,souillac,75,MU,1665350307,78,-20.5167,57.5167,70.18,11.5
342,diffa,27,NE,1665350308,19,13.3154,12.6113,87.37,7.65
343,egvekinot,1,RU,1665350308,67,66.3167,-179.1667,14.0,4.94
344,kendari,96,ID,1665350308,93,-3.945,122.4989,74.8,3.44
345,katobu,100,ID,1665350308,92,-4.9408,122.5276,76.17,3.0
346,namibe,27,AO,1665350308,87,-15.1961,12.1522,68.05,6.64
347,whitehorse,75,CA,1665350308,54,60.7161,-135.0538,61.02,23.02
348,chimoio,0,MZ,1665350308,88,-19.1164,33.4833,67.86,1.86
349,te anau,100,NZ,1665350309,85,-45.4167,167.7167,50.49,6.85
350,sabang,99,ID,1665350309,77,5.8933,95.3214,81.09,10.25
351,hami,0,CN,1665350310,19,42.8,93.45,52.02,2.95
352,severo-kurilsk,85,RU,1665350024,75,50.6789,156.125,45.1,13.56
